"uid","HUC8","site","BKT","occ1","occ2","occ3"
1,"UPI","1",0,0,0,0
2,"UPI","8",0,0,0,0
3,"UPI","10",0,0,0,0
4,"UPI","11",0,0,0,0
6,"UPI","13",0,0,0,0
7,"UPI","14",0,0,0,0
8,"UPI","16",0,0,0,0
9,"UPI","18",0,0,0,0
10,"UPI","22",0,0,0,0
11,"UPI","26",0,0,0,0
12,"UPI","27",0,0,0,0
14,"UPI","32",0,0,0,0
17,"UPI","36",0,0,0,0
18,"UPI","38",0,0,0,0
19,"UPI","41",0,0,0,0
20,"UPI","48",0,0,0,0
21,"UPI","57",0,0,0,0
22,"UPI","61",0,0,0,0
23,"UPI","75",0,0,0,0
24,"UPI","84",0,0,0,0
26,"UPI","86",0,0,0,0
28,"UPI","96",0,0,0,0
29,"UPI","108",0,0,0,0
30,"UPI","109",0,0,0,0
32,"UPI","118",0,0,0,0
33,"UPI","123",0,0,0,0
34,"UPI","128",0,0,0,0
36,"UPI","135",0,0,0,0
41,"UPI","163",0,0,0,0
42,"UPI","170",0,0,0,0
43,"UPI","14b",0,0,0,0
44,"UPI","32b",0,0,0,0
45,"UPI","57b",0,0,0,0
46,"UPI","201",0,0,0,0
47,"UPI","202",0,0,0,0
48,"YEL","1",0,0,0,0
49,"YEL","4",0,0,0,0
50,"YEL","17",0,0,0,0
51,"YEL","20",0,0,0,0
53,"YEL","29",0,0,0,0
55,"YEL","36",0,0,0,0
56,"YEL","39",0,0,0,0
57,"YEL","40",0,0,0,0
58,"YEL","41",0,0,0,0
59,"YEL","52",0,0,0,0
60,"YEL","56",0,0,0,0
61,"YEL","57",0,0,0,0
62,"YEL","65",0,0,0,0
63,"YEL","73",0,0,0,0
64,"YEL","77",0,0,0,0
65,"YEL","80",0,0,0,0
66,"YEL","82",0,0,0,0
67,"YEL","101",0,0,0,0
69,"YEL","105",0,0,0,0
70,"YEL","113",0,0,0,0
71,"YEL","119",0,0,0,0
72,"YEL","120",0,0,0,0
73,"YEL","129",0,0,0,0
74,"YEL","150",0,0,0,0
75,"YEL","161",0,0,0,0
76,"YEL","178",0,0,0,0
77,"YEL","193",0,0,0,0
78,"YEL","201",0,0,0,0
79,"YEL","202",0,0,0,0
80,"YEL","203",0,0,0,0
81,"YEL","204",0,0,0,0
82,"LMAQ","5",0,0,0,0
83,"LMAQ","48",0,0,0,0
84,"LMAQ","10",0,0,0,0
85,"LMAQ","17",0,0,0,0
86,"LMAQ","28b",0,0,0,0
88,"LMAQ","61",0,0,0,0
91,"UPI","28",0,0,0,0
92,"UPI","70",0,0,0,0
94,"UPI","78",0,0,0,0
96,"UPI","112",0,0,0,0
97,"UPI","151",0,0,0,0
98,"UPI","153",0,0,0,0
100,"YEL","5",0,0,0,0
101,"YEL","9",0,0,0,0
102,"YEL","21",0,0,0,0
103,"YEL","24",0,0,0,0
104,"YEL","28",0,0,0,0
105,"YEL","37",0,0,0,0
106,"YEL","42",0,0,0,0
107,"YEL","44",0,0,0,0
108,"YEL","49",0,0,0,0
109,"YEL","50",0,0,0,0
110,"YEL","53",0,0,0,0
111,"YEL","54",0,0,0,0
112,"YEL","58",0,0,0,0
113,"YEL","72",0,0,0,0
114,"YEL","81",0,0,0,0
115,"YEL","85",0,0,0,0
116,"YEL","89",0,0,0,0
117,"YEL","97",0,0,0,0
118,"YEL","106",0,0,0,0
119,"YEL","109",0,0,0,0
120,"YEL","118",0,0,0,0
121,"YEL","118b",0,0,0,0
122,"YEL","121",0,0,0,0
123,"YEL","125",0,0,0,0
124,"YEL","140",0,0,0,0
125,"YEL","153",0,0,0,0
126,"YEL","154",0,0,0,0
127,"YEL","157",0,0,0,0
128,"YEL","165",0,0,0,0
129,"YEL","168",0,0,0,0
130,"YEL","169",0,0,0,0
131,"YEL","173",0,0,0,0
132,"YEL","177",0,0,0,0
133,"YEL","189",0,0,0,0
134,"YEL","190",0,0,0,0
135,"LMAQ","8",0,0,0,0
136,"LMAQ","9",0,0,0,0
138,"LMAQ","20",0,0,0,0
139,"LMAQ","22",0,0,0,0
140,"LMAQ","23",0,0,0,0
141,"LMAQ","26",0,0,0,0
5,"UPI","12",1,0,1,0
15,"UPI","34",1,1,1,1
16,"UPI","35",1,1,1,0
25,"UPI","85",1,1,0,0
27,"UPI","93",1,0,0,1
31,"UPI","117",1,1,1,1
35,"UPI","130",1,1,1,0
37,"UPI","149",1,1,1,1
38,"UPI","154",1,1,1,1
39,"UPI","156",1,1,1,1
40,"UPI","157",1,0,1,0
52,"YEL","25",1,1,1,1
68,"YEL","103",1,1,1,1
87,"LMAQ","24",1,1,1,1
89,"UPI","23",1,0,1,1
90,"UPI","25",1,1,1,1
93,"UPI","73",1,1,1,1
95,"UPI","78b",1,1,0,0
137,"LMAQ","15",1,0,0,1
